PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	MacDonald, GM; Velichko, AA; Kremenetski, CV; Borisova, OK; Goleva, AA; Andreev, AA; Cwynar, LC; Riding, RT; Forman, SL; Edwards, TWD; Aravena, R; Hammarlund, D; Szeicz, JM; Gattaulin, VN				MacDonald, GM; Velichko, AA; Kremenetski, CV; Borisova, OK; Goleva, AA; Andreev, AA; Cwynar, LC; Riding, RT; Forman, SL; Edwards, TWD; Aravena, R; Hammarlund, D; Szeicz, JM; Gattaulin, VN			Holocene treeline history and climate change across northern Eurasia	QUATERNARY RESEARCH			English	Article						treeline; climate change; Holocene; Arctic; Russia; Siberia; macrofossils	DEEP-OCEAN CIRCULATION; YOUNGER-DRYAS; SCANDES-MOUNTAINS; BOREAL FOREST; ATLANTIC; SWEDEN; LIMIT; SIMULATIONS; GREENLAND; SVALBARD	Radiocarbon-dated macrofossils are used to document Holocene treeline history across northern Russia (including Siberia), Boreal forest development in this region commenced by 10,000 yr B.P, Over most of Russia, forest advanced to or near the current arctic coastline between 9000 and 7000 yr B.P. and retreated to its present position by between 4000 and 3000 yr B.P. Forest establishment and retreat was roughly synchronous across most of northern Russia, Treeline advance on the Kola Peninsula, however, appears to have occurred later than in other regions. During the period of maximum forest extension, the mean July temperatures along the northern coastline of Russia may have been 2.5 degrees to 7.0 degrees C warmer than modern. The development of forest and expansion of treeline likely reflects a number of complimentary environmental conditions, including heightened summer insolation, the demise of Eurasian ice sheets, reduced sea-ice cover, greater continentality with eustatically lower sea level, and extreme Arctic penetration of warm North Atlantic waters. The late Holocene retreat of Eurasian treeline coincides with declining summer insolation, cooling arctic waters, and neoglaciation, (C) 2000 University of Washington.	Univ Calif Los Angeles, Dept Geog, Los Angeles, CA 90095 USA; Univ Calif Los Angeles, Dept Biol, Los Angeles, CA 90095 USA; Russian Acad Sci, Inst Geog, Moscow 109017, Russia; Univ New Brunswick, Dept Biol, Fredericton, NB E3B 6E1, Canada; Univ Illinois, Dept Earth & Environm Sci, Chicago, IL 60607 USA; Univ Waterloo, Dept Earth Sci, Waterloo, ON N2L 3G1, Canada; Lund Univ, Dept Quaternary Geol, S-22363 Lund, Sweden; Queens Univ, Dept Geog, Kingston, ON K7L 3N6, Canada; Res Inst Marine Geol & Geophys, LV-1226 Riga, Latvia	MacDonald, GM (reprint author), Univ Calif Los Angeles, Dept Geog, Los Angeles, CA 90095 USA.		Cwynar, Les/I-4214-2012; Hammarlund, Dan/B-9698-2008; Golyeva, Alexandra/O-1758-2015; Andreev, Andrei/J-2701-2015	Golyeva, Alexandra/0000-0002-1162-3321; Andreev, Andrei/0000-0002-8745-9636; Hammarlund, Dan/0000-0001-7147-8173; Forman, Steven/0000-0002-2080-7915				37	246	264	1	67	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0033-5894	1096-0287		QUATERNARY RES	Quat. Res.	MAY	2000	53	3					302	311		10.1006/qres.1999.2123			10	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	317VC	WOS:000087246800004		Green Published			2020-01-09	
J	Knox, JC				Knox, JC			Sensitivity of modern and Holocene floods to climate change	QUATERNARY SCIENCE REVIEWS			English	Article; Proceedings Paper	1st PAGES Open Science Meeting	APR 19-23, 1998	UNIV LONDON, LONDON, ENGLAND		UNIV LONDON		SOUTHWESTERN UNITED-STATES; UPPER MISSISSIPPI VALLEY; NORTHERN GREAT-PLAINS; EL-NINO; EXTREME FLOODS; RECORD; PATTERNS; RIVER; VARIABILITY; FREQUENCY	Alluvial records of paleofloods show that natural floods resulting from excessive rainfall, snowmelt, or from combined rainfall and snowmelt are highly sensitive to even modest changes of climate equivalent or smaller than changes expected from potential future global warming in the 21st century. The high sensitivity results from effects of hemispheric or global-scale changes in circulation patterns of the ocean and atmosphere to influence the pathway's and locations of air masses and storm tracks. Holocene paleoflood chronologies from the Upper Mississippi Valley in the Midwest United States and from the Colorado River drainage of the Southwest United States show that recurrence frequencies of large floods have been subject to abrupt changes over time. These flood chronologies and hood chronologies observed for other middle-latitude regions suggest that recurrence frequencies of large hoods are increased when there is an increase in the number of waves and their amplitudes in the middle and upper tropospheric circum-polar westerly circulation. However, some middle-latitude regions on the western margins of continents experience increased frequencies of flooding during strong onshore zonal westerly circulation. Flood chronologies from several regions suggest that times of rapid climate change have a tendency to be associated with more frequent occurrences of large and extreme floods. The unusual high frequencies of large floods that have been observed in many regions since the early 1950s are often attributed to land use change, but the rapid climate forcing from the effects of increased atmospheric greenhouse gases may also be a contributing factor. Paleoflood records provide information that is useful for better interpretation and calibration of modern short-term instrumental records, and they provide unique event-scale information that is useful fbr calibrating and testing geophysical models of past and anticipated future climate conditions. (C) 1999 Elsevier Science Ltd. All rights reserved.	Univ Wisconsin, Dept Geog, Madison, WI 53706 USA	Knox, JC (reprint author), Univ Wisconsin, Dept Geog, 234 Sci Hall 550 N Pk St, Madison, WI 53706 USA.							97	242	268	2	69	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0277-3791			QUATERNARY SCI REV	Quat. Sci. Rev.	JAN	2000	19	1-5					439	457		10.1016/S0277-3791(99)00074-8			19	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	268PV	WOS:000084425500028					2020-01-09	
J	Enzel, Y; Bookman, R; Sharon, D; Gvirtzman, H; Dayan, U; Ziv, B; Stein, M				Enzel, Y; Bookman, R; Sharon, D; Gvirtzman, H; Dayan, U; Ziv, B; Stein, M			Late Holocene climates of the Near East deduced from Dead Sea level variations and modem regional winter rainfall	QUATERNARY RESEARCH			English	Article						Eastern Mediterranean; Dead Sea; rainfall; paleoclimate; lake level; Holocene; atmospheric circulation; drought; water resources; hydrology; history	HISTORIC EARTHQUAKES; LAKE LISAN; FAN-DELTA; STREAMFLOW; JERUSALEM; PRESSURE; SEQUENCE; PATTERNS; COLLAPSE; ISRAEL	The Dead Sea is a terminal take of one of the largest hydrological systems in the Levant and may thus be viewed as a large rain gauge for the region. Variations of its level are indicative of the climate variations in the region. Here, we present the decadal- to centennial-resolution Holocene lake-level curve of the Dead Sea. Then we determine the regional hydroclimatology that affected level variations. To achieve this goal we compare modem natural lake-level variations and instrumental rainfall records and quantify the hydrology relative to lake-level rise, fall, or stability. To quantify that relationship under natural conditions, rainfall data pre-dating the artificial Dead Sea level drop since the 1960s are used. In this respect, Jerusalem station offers the longest uninterrupted pre- 1960s rainfall record and Jerusalem rains serve as an adequate proxy for the Dead Sea headwaters rainfall. Principal component analysis indicates that temporal variations of annual precipitation in all stations in Israel north of the current 200 mm yr(-1) Average isohyet during 1940-1990 are largely synchronous and in phase (similar to70% of the total variance explained by PC1). This station also represents well northern Jordan and the area all the way to Beirut, Lebanon, especially during extreme drought and wet spells. We (a) determine the modem, and propose the past regional hydrology and Eastern Mediterranean (EM) climatology that affected the severity and length of droughts/wet spells associated with multiyear episodes of Dead Sea level falls/rises and (b) determine that EM cyclone tracks were different in average number and latitude in wet and dry years in Jerusalem. The mean composite sea level pressure and 500-mb height anomalies indicate that the potential causes for wet and dry episodes span the entire EM and are rooted in the larger-scale northern hemisphere atmospheric circulation. We also identified remarkably close association (within radiocarbon resolution) between climatic changes in the Levant, reflected by level changes, and culture shifts in this region. (C) 2003 University of Washington. Published by Elsevier Inc. All rights reserved.	Hebrew Univ Jerusalem, Inst Earth Sci, IL-91904 Jerusalem, Israel; Hebrew Univ Jerusalem, Dept Geog, IL-91904 Jerusalem, Israel; Geol Survey Israel, IL-95501 Jerusalem, Israel; Open University, Tel Aviv, Israel	Enzel, Y (reprint author), Hebrew Univ Jerusalem, Inst Earth Sci, IL-91904 Jerusalem, Israel.		Dayan, Uri/D-4855-2014	Dayan, Uri/0000-0002-1336-1441				38	204	204	1	41	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0033-5894			QUATERNARY RES	Quat. Res.	NOV	2003	60	3					263	273		10.1016/j.yqres.2003.07.011			11	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	752RK	WOS:000187180800003					2020-01-09	
J	Shi, Y				Shi, Y			Characteristics of late Quaternary monsoonal glaciation on the Tibetan Plateau and in East Asia	QUATERNARY INTERNATIONAL			English	Article; Proceedings Paper	Meeting on Quaternary Glacial Geology of High Mountains of Asia	JUN, 2000	CHENGDU, PEOPLES R CHINA	Int Geol Correlat Program, Working Grp 2, Glaciat Tibet, Glacial Commiss INQUA, Work Grp 5, Asian Glaciat			SUMMER MONSOON; INDIAN MONSOON; EXTENT; LAKE	Glaciers fed by monsoonal precipitation are mainly located on the Tibetan Plateau and easternmost Asia. These are characterized by simultaneous accumulation and ablation in summer season. The southeast part of the Tibetan Plateau experiences monsoonal precipitation in excess of 1000 mm/yr resulting in maritime temperate glaciers. In contrast, precipitation in the middle and northwest part of the Tibet Plateau decreases from 1000 to 200 mm/yr, resulting in the formation of continental cold glaciers. During the last glacial, the regions of heavy monsoonal precipitation were restricted to the southeast corner of the Plateau. The westerly weak precipitation zone shifted southward, and occupied the major northwest part of the Plateau, where the extreme continental type glaciers greatly expanded. In the eastern margin of Asia including Taiwan, Central Japan, Hokkaido and probably Mount Changbai, maritime type glaciers were more extensive because of higher monsoonal precipitation, especially heavy snowfall in northwest Japan owing to the rich moisture content of the winter monsoon over the Japan Sea. The millennial scale monsoon intensity and glacial cycle in the Tibetan Plateau are strongly affected by the precession cycle and the orbit-inclination cycle which dominate the solar irradiance variation in low latitudes, as the high radiation and strong monsoon caused the warmer and wetter climate during 40-30ka. The low radiation produced a weak monsoon and large depression of temperature and precipitation around 21 ka. This climatic pattern differs from that in the high latitudes where the eccentricity cycle is prominent. The temperature during the last glacial maximum (LGM) was 6-9degreesC lower than today on the Tibetan Plateau and the equilibrium line altitude was depressed by about 1000m in the southeast part, and in the east, south and west margins of the Plateau where precipitation was high. The equilibrium line depression was 500-300 m in the inner and especially the west part of the Plateau. This variation in equilibrium lines might be caused by the combined effect of the decrease in precipitation, the expansion of extreme continental glaciers and the active uplift of glaciated mountains. The estimation of a glaciated area of about 350,000 km(2) in the Tibetan Plateau and roughly 500,000 km(2) in High Asia based on observations of prominent features of LGM glacier extension, may be the direct evidence that shows there was no Quaternary unified ice sheet developed in the Tibetan Plateau. (C) 2002 Elsevier Science Ltd and INQUA. All rights reserved.	Chinese Acad Sci, Cold & Arid Reg Environm & Engn Res Inst, Lanzhou 730000, Peoples R China	Shi, Y (reprint author), Chinese Acad Sci, Cold & Arid Reg Environm & Engn Res Inst, Lanzhou 730000, Peoples R China.							86	192	218	2	41	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	1040-6182	1873-4553		QUATERN INT	Quat. Int.		2002	97-8						79	91	PII S1040-6182(02)00053-8	10.1016/S1040-6182(02)00053-8			13	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	608RB	WOS:000178859500007					2020-01-09	
J	Rossignol-Strick, M				Rossignol-Strick, M			The Holocene climatic optimum and pollen records of sapropel 1 in the eastern Mediterranean, 9000-6000 BP	QUATERNARY SCIENCE REVIEWS			English	Article; Proceedings Paper	International Symposium on the Late Quaternary in the Eastern Mediterranean Region	APR 01-04, 1997	MTA GEN DIRECTORATE, ANKARA, TURKEY		MTA GEN DIRECTORATE		YOUNGER-DRYAS; PALEOCLIMATES; DEGLACIATION; TRANSITION; IMPACT; EVENT; BASIN; AREA; SEA	The most recent sapropel in the deep eastern Mediterranean Sea has been deposited between 9 and 6 ka sp. Climate conditions, as revealed by the pollen records of this sapropel in marine cores, were most favorable for temperate deciduous trees, which is in agreement with the inferences from records of peripheral land pollen sites. The abundance of deciduous oak pollen is much higher than that of Artemisia (sage-brush), indicating that annual precipitation in the mid-elevation borderlands was at least 550 mm without summer drought, but more probably in the range 800-1300 mm. The pollen of Pistacia, which formed a savanna at low elevations, is also at its highest abundance and signals the absence of frost in winter, while being capable of withstanding summer drought. The early Holocene therefore appears as the post-glacial climatic optimum with the highest moisture and mildest winters. In southwest Asia, this is also the time of the Neolithic population explosion with incipient domestication of cereals, possibly following natural selection of the 'tough rachis' mutation in wheat and barley by the extreme aridity of the preceding Younger Dryas. (C) 1999 Elsevier Science Ltd. All rights reserved.	Univ Paris 06, Lab Paleobiol & Palynol, F-75252 Paris 05, France	Rossignol-Strick, M (reprint author), Univ Paris 06, Lab Paleobiol & Palynol, 4 Pl Jussieu,Boite 106, F-75252 Paris 05, France.	mrstrick@ccr.jussieu.fr						42	168	170	1	20	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0277-3791			QUATERNARY SCI REV	Quat. Sci. Rev.		1999	18	4-5					515	530		10.1016/S0277-3791(98)00093-6			16	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	189CV	WOS:000079887300003					2020-01-09	
J	Dennell, RW; Martinon-Torres, M; de Castro, JMB				Dennell, Robin W.; Martinon-Torres, Maria; Bermudez de Castro, Jose M.			Hominin variability, climatic instability and population demography in Middle Pleistocene Europe	QUATERNARY SCIENCE REVIEWS			English	Article							GEOMETRIC MORPHOMETRIC-ANALYSIS; HUESOS DENTAL SAMPLES; HOMO-ERECTUS; NORTHEAST ATLANTIC; GRAN DOLINA-TD6; TIME-SCALE; ATAPUERCA; SIMA; RECORD; COLONIZATION	We propose a population model for Middle Pleistocene Europe that is based on demographic "sources" and "sinks". The former were a small number of "core" or populations in glacial refugia in southern Europe from which hominins expanded northwards in interstadial and interglacial periods; occupation outside glacial refugia would have been restricted to warm or temperate periods, and populations at the northern limit of the Middle Pleistocene range would have been "sink" populations in that they depended upon recruitment from source populations further south. Southwest Asia would also have been a likely source of immigrant, source populations. We argue as an alternative to an "ebb and flow" model in which groups retreated to refugia when conditions worsened that local extinction outside refugia would have been frequent. In extreme situations, Europe may have been a population "sink" (i.e. unpopulated) that was replenished from source populations in Southwest Asia. We suggest that this pattern of repeated colonisation and extinction may help explain the morphological variability of European Middle Pleistocene hominins, particularly Homo heidelbergensis and its apparent non-lineal evolution towards Homo neanderthalensis. (C) 2009 Elsevier Ltd. All rights reserved.	[Dennell, Robin W.] Univ Sheffield, Dept Archaeol, Sheffield S1 4ET, S Yorkshire, England; [Martinon-Torres, Maria; Bermudez de Castro, Jose M.] Ctr Nacl Invest Evoluc Humana CENIEH, Burgos 00904, Spain	Dennell, RW (reprint author), Univ Sheffield, Dept Archaeol, Northgate House, Sheffield S1 4ET, S Yorkshire, England.	r.dennell@sheffield.ac.uk; maria.martinon.torres@gmail.com; jm.ber@cenieh.es		Martinon-Torres, Maria/0000-0002-2750-4554				101	160	161	1	65	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0277-3791			QUATERNARY SCI REV	Quat. Sci. Rev.	JUN	2011	30	11-12			SI		1511	1524		10.1016/j.quascirev.2009.11.027			14	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	789QL	WOS:000292531300017					2020-01-09	
J	Muller, UC; Pross, J; Tzedakis, PC; Gamble, C; Kotthoff, U; Schmiedl, G; Wulf, S; Christanis, K				Mueller, Ulrich C.; Pross, Joerg; Tzedakis, Polychronis C.; Gamble, Clive; Kotthoff, Ulrich; Schmiedl, Gerhard; Wulf, Sabine; Christanis, Kimon			The role of climate in the spread of modern humans into Europe	QUATERNARY SCIENCE REVIEWS			English	Article							ENVIRONMENTAL-CHANGES; SOUTHERN EUROPE; LAST; VEGETATION; MARINE; VARIABILITY; GREENLAND; RECORDS; SEA; SPELEOTHEMS	The spread of anatomically modern humans (AMH) into Europe occurred when shifts in the North Atlantic meridional overturning circulation triggered a series of large and abrupt climate changes during the last glacial. However, the role of climate forcing in this process has remained unclear. Here we present a last glacial record that provides insight into climate-related environmental shifts in the eastern Mediterranean region, i.e. the gateway for the colonisation of Europe by AMH. We show that the environmental impact of the Heinrich Event H5 climatic deterioration c. 48 kyr ago was as extreme as that of the glacial maximum of Marine Isotope Stage (MIS) 4 when most of Europe was deserted by Neanderthals. We argue that Heinrich H5 resulted in a similar demographic vacuum so that invasive AMH populations had the opportunity to spread into Europe and occupy large parts before the Neanderthals were able to reoccupy this territory. This spread followed the resumption of the Atlantic meridional overturning circulation at the beginning of Greenland Interstadial (GIS) 12 c. 47 kyr ago that triggered an extreme and rapid shift from desert-steppe to open woodland biomes in the gateway to Europe. We conclude that the extreme environmental impact of Heinrich H5 within a situation of competitive exclusion between two closely related hominids species shifted the balance in favour of modern humans. (C) 2010 Elsevier Ltd. All rights reserved.	[Mueller, Ulrich C.; Pross, Joerg; Kotthoff, Ulrich] Goethe Univ Frankfurt, Inst Geosci, D-60438 Frankfurt, Germany; [Tzedakis, Polychronis C.] UCL, Dept Geog, London WC1E 6BT, England; [Tzedakis, Polychronis C.] Univ Aegean, Dept Environm, Mitilini 81100, Greece; [Gamble, Clive] Royal Holloway Univ London, Dept Geog, Egham TW20 0EX, Surrey, England; [Kotthoff, Ulrich; Schmiedl, Gerhard] Univ Hamburg, Inst Geol & Palaeontol, D-20146 Hamburg, Germany; [Wulf, Sabine] Univ Texas Austin, Inst Geophys, Austin, TX 78758 USA; [Wulf, Sabine] Deutsch GeoForschungsZentrum GFZ, D-14473 Potsdam, Germany; [Christanis, Kimon] Univ Patras, Dept Geol, Rion 26500, Greece	Muller, UC (reprint author), Goethe Univ Frankfurt, Inst Geosci, D-60438 Frankfurt, Germany.	ulrich.mueller@em.uni-frankfurt.de	Schmiedl, Gerhard/E-6644-2017; Wulf, Sabine/C-7777-2013; Tzedakis, Polychronis/J-1894-2012	Schmiedl, Gerhard/0000-0002-2177-6858; Tzedakis, Polychronis/0000-0001-6072-1166; Christanis, Kimon/0000-0003-4625-2783; Wulf, Sabine/0000-0003-0229-7656	Deutsche Forschungsgemeinschaft (Germany)German Research Foundation (DFG) [PR 651/3]; Biodiversity and Climate Research Center (BIK-F) of the Hessian Initiative for Scientific and Economic Excellence (LOEWE) (Germany); Wilhelm Schuler-Foundation (Germany); Royal Society (United Kingdom)Royal Society of London; Jackson School of Geosciences (USA); Natural Environment Research CouncilNERC Natural Environment Research Council [NE/E009956/1]	We thank N.J. Conard for comments on an earlier version of this paper. This study was financially supported by the Deutsche Forschungsgemeinschaft (project PR 651/3), the Biodiversity and Climate Research Center (BIK-F) of the Hessian Initiative for Scientific and Economic Excellence (LOEWE), the Wilhelm Schuler-Foundation (all Germany), The Royal Society (United Kingdom), and the Jackson School of Geosciences (USA). We thank A. Almogi-Labin for providing planktonic isotope data from core MD9501. Technical support by S. Liner and S. Kalaitzidis is gratefully acknowledged.		43	155	155	1	66	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0277-3791			QUATERNARY SCI REV	Quat. Sci. Rev.	FEB	2011	30	3-4					273	279		10.1016/j.quascirev.2010.11.016			7	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	722LP	WOS:000287434000002					2020-01-09	
J	Benito, G; Sopena, A; Sanchez-Moya, Y; Machado, MJ; Perez-Gonzalez, A				Benito, G; Sopena, A; Sanchez-Moya, Y; Machado, MJ; Perez-Gonzalez, A			Palaeoflood record of the Tagus River (Central Spain) during the Late Pleistocene and Holocene	QUATERNARY SCIENCE REVIEWS			English	Article							SOUTHWESTERN UNITED-STATES; CLIMATIC-CHANGE; EXTREME FLOODS; VEGETATION; DEPOSITS; MAGNITUDE; HYDROLOGY; RESPONSES; PORTUGAL; ARIZONA	Palaeoflood hydrology of the Tagus River (Central Spain) was reconstructed from slackwater deposits and palaeostage indicators in two canyon reaches located at El Puente del Arzobispo in the central part of the catchment (35, 000 km(2) in drainage area) and in Alcantara. at the lower part of the catchment (52, 000 km2 in drainage area) near the Portuguese border. The palaeoflood record, with more than 80 flood events, shows clusters of floods at specific periods from 9440 to 9210 (14)C yr BP (8540-8110 BC, 8500 to 8000 (14)C yr BP (7500-7000 BC). similar to 6750 (14)C yr BP (similar to 5000 BC), 1200 to 950 (14)C yr BP (AD 785-1205), similar to410 (14)C yr BP (AD 1450-1500) 170 to 80 14C yr BP (AD 1670-1950). The largest flood(s) occurred during the periods 9440 to 9210 (14)C yr BP, similar to 6750 (14)C yr BP and 1200 to 950 (14)C yr BP reaching minimum discharge estimates of between 4000 and 4100 m(3) s(-1) in the El Puente del Arzobispo reach and 13,700-15, 000 m(3) s(-1) in the Alcantara reach. These periods with increased flood magnitude and/or frequency in the Tagus River are strongly related to increased moisture influx and winter precipitation in the Iberian Peninsula, especially in the western zone. Proxy records sensitive to winter precipitation such as lake levels and vegetation changes (indicated by pollen records) are in good agreement with the clusters of floods found in the Tagus River. This flood variability seems to correspond to changes in the prevailing atmospheric circulation pattern affecting the Iberian Peninsula. (C) 2003 Elsevier Ltd. All rights reserved.	CSIC, Ctr Ciencias Medioambientales, Madrid 28006, Spain; Univ Complutense Madrid, Fac Ciencias Geol, CSIC, Inst Geol Econ, E-28040 Madrid, Spain; Univ Complutense Madrid, Fac Ciencias Geol, Dept Estratig, Inst Geol Econ,CSIC, E-28040 Madrid, Spain; Univ Complutense Madrid, Fac Ciencias Geol, Dept Geodinam, E-28040 Madrid, Spain	Benito, G (reprint author), CSIC, Ctr Ciencias Medioambientales, Serrano 115 bis, Madrid 28006, Spain.	benito@ccma.csic.es	, A/B-2814-2011; Benito, Gerardo/E-5456-2013; Machado, Maria J./D-5385-2014; Sanchez-Moya, Yolanda/B-4703-2011; Sanchez-Moya, Yolanda/S-4862-2019	, A/0000-0003-0025-7853; Benito, Gerardo/0000-0003-0724-1790; Machado, Maria J./0000-0001-8780-4164; Sanchez-Moya, Yolanda/0000-0002-1966-3838; Sanchez-Moya, Yolanda/0000-0002-1966-3838				61	148	175	0	29	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0277-3791			QUATERNARY SCI REV	Quat. Sci. Rev.	JUL-AUG	2003	22	15-17					1737	1756		10.1016/S0277-3791(03)00133-1			20	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	707HF	WOS:000184504700013					2020-01-09	
J	Holmgren, K; Karlen, W; Lauritzen, SE; Lee-Thorp, JA; Partridge, TC; Piketh, S; Repinski, P; Stevenson, C; Svanered, O; Tyson, PD				Holmgren, K; Karlen, W; Lauritzen, SE; Lee-Thorp, JA; Partridge, TC; Piketh, S; Repinski, P; Stevenson, C; Svanered, O; Tyson, PD			A 3000-year high-resolution stalagmite-based record of palaeoclimate for northeastern South Africa	HOLOCENE			English	Article						speleothems; climatic change; stalagmite; stable isotopes; O-18; C-13; 'Little Ice Age'; Holocene; uranium-series dating; South Africa	TREE-RING RECORD; LATE QUATERNARY; ISOTOPIC COMPOSITION; HOLOCENE CLIMATE; STABLE-ISOTOPE; CAPE-PROVINCE; SPELEOTHEMS; CAVE; PALEOCLIMATE; CALCITE	High-resolution stable isotope variations and growth structure analyses of the last three millennia of a 6600-year stalagmite record at Cold Air Cave, Makapansgat Valley, South Africa, are presented. Growth layers, which are measurable over the last 250 years, are shown to be annual. The correlation between the width of growth layers and precipitation is strongly positive. Changes in delta(18)O and delta(13)C are positively correlated and inversely correlated to changes in the colour of the growth layers in the stalagmite. Variations in colour are directly correlated with mean annual temperature. Dark colouration is the product of increased temperature and mobilization of organic matter from the soil, and is associated with wetter summers and enhanced growth of C-4 grasses. Darker colouring and enriched delta(18)O and delta(13)C reflect a warmer, wetter environment, whereas lighter colouring and depleted isotopic values are indicative of cooler, drier conditions. The dominant episode in the 3000-year record is the cool, dry 500-year manifestation of the 'Little Ice Age', from AD 1300 to about 1800, with the lowest temperatures at around AD 1700. The four centuries from AD 900 to 1300, experiencing above-average warming and high variability, may be the regional expression of the medieval warming. Other cool, dry spells prevailed from around AD 800 to 900 and from about AD 440 to 520. The most prolonged warm, wet period occurred from AD 40 to 400. Some extreme events are shown to correspond well with similar events determined from the Greenland GISP2 ice-core record and elsewhere. Distinct periodicities occur within the record at around 120, 200-300, 500-600 and at about 800 years BP.	Univ Stockholm, Dept Phys Geog, S-10691 Stockholm, Sweden; Univ Bergen, Dept Geol, N-5007 Bergen, Norway; Univ Cape Town, Dept Archaeol, ZA-7701 Cape Town, South Africa; Univ Witwatersrand, Climatol Res Grp, ZA-2050 Witwatersrand, South Africa	Holmgren, K (reprint author), Univ Stockholm, Dept Phys Geog, S-10691 Stockholm, Sweden.							94	131	139	0	24	ARNOLD, HODDER HEADLINE PLC	LONDON	338 EUSTON ROAD, LONDON NW1 3BH, ENGLAND	0959-6836			HOLOCENE	Holocene	MAY	1999	9	3					295	309		10.1191/095968399672625464			15	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	194WV	WOS:000080218500004					2020-01-09	
J	Hellstrom, J; McCulloch, M; Stone, J				Hellstrom, J; McCulloch, M; Stone, J			A detailed 31,000-year record of climate and vegetation change, from the isotope geochemistry of two New Zealand speleothems	QUATERNARY RESEARCH			English	Article						New Zealand Quaternary climate; oxygen and carbon isotopes; speleothem climate records; Subtropical Front; isotope paleovegetation record	CAVE; OCEAN; ICE; GLACIER; SYSTEM; CORALS; ISLAND; C-13	Uranium-series dating and stable isotope analyses of two speleothems from northwest Nelson, New Zealand, record changes in regional climate and local forest extent over the past 31,000 years. Oxygen isotope variation in these speleothems primarily represents changes in the meteoric waters falling above the caves, possibly responding to latitudinal changes in the position of the Subtropical Front in the Tasman Sea. Seven positive excursions can be identified in the oxygen isotope record, which coincide with periods of glacier advance, known to be sensitive to northward movement of the Subtropical Front. Four glacier advances occurred during oxygen isotope stage 2, with the most extreme glacial conditions centered on 19,000 cal yr B.P.(2) An excursion in the oxygen isotope record from 13,800 to 11,700 cal yr B.P. provides support for a previously identified New Zealand glacier advance at the time of the Younger Dryas Stade, but suggests it began slightly before the Younger Dryas as recorded in Greenland ice cores. Carbon isotope variations in the speleothems record changes in forest productivity, closely matching existing paleovegetation records. On the basis of vegetation changes, stage 2 glacial climate conditions terminated abruptly in central New Zealand, from 15,700 to 14,200 cal yr B.P. Evidence of continuous speleothem grovvth at one site suggests that depression of the local treeline was limited to 600-700 m below its present altitude, throughout the last 31,000 years. (C) 1998 University of Washington.	Australian Natl Univ, Res Sch Earth Sci, Canberra, ACT 0200, Australia	Hellstrom, J (reprint author), Australian Natl Univ, Res Sch Earth Sci, Canberra, ACT 0200, Australia.		McCulloch, Malcolm/C-3651-2009; Hellstrom, John C/B-1770-2008	McCulloch, Malcolm/0000-0003-1538-1558; Hellstrom, John C/0000-0001-9427-3525				48	127	137	0	27	ACADEMIC PRESS INC	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0033-5894			QUATERNARY RES	Quat. Res.	SEP	1998	50	2					167	178		10.1006/qres.1998.1991			12	Geography, Physical; Geosciences, Multidisciplinary	Physical Geography; Geology	128GV	WOS:000076398300006					2020-01-09	
